action_date,action_time,rule_name,condition_name,action_name,account_id,adset_id,campaign_id,old_budget,new_budget,set_budget,response,spend_at_action,total_spend_at_action,total_days_at_action,today_roi_at_action,current_budget_from_fb,last_3_days_revenue_at_action,last_3_days_total_roi_at_action,today_rpc_at_action,today_cpa_at_action,last_3_days_spend_at_action,last_3_days_roi_at_action,budget_level,rule_id,condition_id,action_id,action_hour,action_minute,date,spend,profit,finalized_roi,revenue,impressions,clicks,hours_until_eod,is_mistake
2026-06-06,2026-06-06T01:00:07.000Z,Turn OFF | Total Days = 4 | OWN RSOC,Turn OFF | Total Days = 4 | OWN RSOC,Turn OFF,9913405683583663,31319368035107,31241921876100,1.27,3.81,,SUCCESS,0.9017,8.0772,4,-0.01,3.81,7.4079,-0.08,0.0889,0.0889,7.1755,-0.09,adset,R08,C08,A08,1,0,2026-06-06,1.1049,0.0635,0.0575,1.1684,672,56,22.983333333333334,1
2026-06-08,2026-06-07T22:30:07.000Z,Turn OFF | Total Days = 4 | OWN RSOC,Turn OFF | Total Days = 4 | OWN RSOC,Turn OFF,9913405683583663,31255165214890,31467943580651,3.81,6.35,,SUCCESS,8.2296,102.1842,4,-0.87,6.35,99.8256,-0.02,,,93.9546,0.05,adset,R08,C08,A08,22,30,2026-06-08,9.6012,2.8788,0.2998,12.48,68,2,1.4833333333333334,1
2026-06-08,2026-06-08T01:00:09.000Z,Turn OFF | Total Days = 4 | OWN RSOC,Turn OFF | Total Days = 4 | OWN RSOC,Turn OFF,9913405683583663,31314467522499,31273676670366,1.27,1.27,,SUCCESS,0.2667,4.0894,4,-0.37,1.27,3.2455,-0.21,0.0889,0.1397,3.8227,-0.2,adset,R08,C08,A08,1,0,2026-06-08,0.3175,0.3175,1.0,0.635,131,16,22.983333333333334,1
2026-06-12,2026-06-11T23:30:08.000Z,Turn OFF | Total Days >= 5 | OWN RSOC,Turn OFF | Total Days >= 5 | OWN RSOC ,Turn OFF,9913405683583663,31191755212537,31719759393357,12.7,10.16,,SUCCESS,8.382,415.9758000000001,10,-0.47,10.16,524.3208,0.26,0.254,0.4699,201.3966,0.05,adset,R01,C01,A01,23,30,2026-06-12,9.4488,2.8312,0.2996,12.28,329,10,0.48333333333333334,1
